DTCR I5_OHLC_NE_USD Gold_OHLC_NE BT_OHLC_NE DJIA_OHLC_NE SSECI_OHLC_NE_USD FTSE100_OHLC_NE_USD BVSP_OHLC_NE_USD BSESN_OHLC_NE_USD Nickel_OHLC_NE Nickel_OHLC_NE_USD VIX_OHLC_NE
18.10.2004 1544.33493381013 422.56 50.526 9887.641 160.505785567314 8390.268829675 8073.35556046488 124.27058007201 13431 100.837593235819 15.149
25.10.2004 1570.46338353571 427.41 50.345 9902.4225 160.305984057415 8454.82944735 8094.76873069641 124.181167808726 13246 100.768088452781 16.0945
01.11.2004 1579.60609969042 427.635 45.937 10165.841 158.362662974334 8655.005195225 8213.41236512574 127.824221078897 13805 102.48749640972 14.8505
08.11.2004 1601.14613591962 435.14 42.784 10420.1475 160.652932068653 8781.66386685 8222.84368319146 131.926729174196 14009 103.430678188106 13.348
15.11.2004 1607.97859548599 441.685 40.843 10533.7655 165.016377438644 8880.58589605 8432.16947260848 133.234938922435 14271 106.556786743309 13.307
22.11.2004 1586.92976576386 448.175 42.7585 10497.6815 165.293569330159 8884.49106545 8688.04989018531 133.552006934258 14074 105.573782906074 12.8395
29.11.2004 1510.97000267318 452.325 41.6985 10527.8115 161.637545391553 9079.4662371 9150.40504945378 140.41385598109 13897 106.24170212766 13.049
06.12.2004 1401.91418954447 445.445 37.691 10517.073 160.938223991871 9111.6223068 9240.773771216 143.560400277781 12949 104.875937277126 13.2
13.12.2004 1357.45419670783 439.585 39.452 10658.667 157.824624740005 9122.9531917 9398.65333255885 144.048128615465 13046 104.171659876537 12.4025
20.12.2004 1419.27089161937 442.75 41.6845 10766.8335 155.313280725238 9175.58375625 9532.25911828791 147.020546888834 14591 107.635740995299 11.5845
27.12.2004 1470.96649991002 441.075 39.8775 10817.966 154.279290028049 9255.561477875 9686.86966762642 150.083853937024 14924 110.627743800572 12.1815
03.01.2005 1477.77695756288 427.255 41.095 10666.328 151.098170842954 9109.1191772 9368.9206748168 149.654226081095 14476 110.199851000937 13.762
10.01.2005 1469.76465945578 422.95 44.3035 10573.6145 151.380162772939 9049.21652925 9141.76239466179 142.804038901602 14820 111.032657728592 13.0675
