DTCR I5_OHLC_NE Gold_OHLC_NE BT_OHLC_NE DJIA_OHLC_NE SSECI_OHLC_NE FTSE100_OHLC_NE BVSP_OHLC_NE BSESN_OHLC_NE Nickel_OHLC_NE NIKKEI225_OHLC_NE VIX_OHLC_NE
15.12.2003 33458.70204 409.635 30.651 10145.332 1460.1455 4365.82 21099.25 5433.065 14509 10248.552 16.2225
22.12.2003 33957.1042 411.695 29.5455 10319.9925 1499.935 4435.26 21679.7 5606.004 15574 10346.936 16.8205
29.12.2003 33830.8958666667 415.858333333333 29.9191666666667 10420.7291666667 1504.095 4463.59166666667 22084.75 5809.9825 16616.6666666667 10596.265 17.6725
01.01.2004 33718.8088 416.675 30.175 10442.81375 1502 4486.4375 22248 5909.855 16670 10646.28 18.05875
05.01.2004 35741.31948 423.285 31.1905 10523.7955 1578.5875 4494.155 23483.05 6044.2065 16456 10843.397 16.5985
12.01.2004 35055.75388 419.445 31.81 10507.4785 1599.5245 4457.675 23595.85 6104.9325 14866 10841.452 16.59
19.01.2004 35501.20704 409.86 31.8265 10586.644 1600.43 4496.37 23305.8 5855.404 14859 11040.5985 14.9875
26.01.2004 35946.16264 406.425 30.3375 10561.674 1605.8695 4442.08 23491.1 5834.0225 14897 10866.5495 16.0745
02.02.2004 35112.52952 400.35 29.456 10500.5675 1660.375 4389.18 21731.3 5716.9905 15187 10578.894 17.4085
09.02.2004 35351.74928 409.535 30.062 10639.6695 1681.614 4404.845 22527.05 5930.5735 15458 10443.717 15.837
16.02.2004 36690.87656 411.205 31.4255 10674.3735 1705.209 4458.455 21842.45 5977.5695 15534 10681.408 15.631
23.02.2004 37492.45848 398.15 32.151 10591.194 1671.559 4512.545 21286.1 5680.1455 14431 10784.927 15.4605
01.03.2004 39166.37672 395.835 33.905 10605.8935 1673.5525 4535.005 22431.35 5798.4925 14125 11358.8375 14.591
08.03.2004 39513.07012 400.88 33.6335 10370.8045 1665.658 4513.17 22106.2 5788.6175 13126 11386.1855 17.462
15.03.2004 40454.00636 405.2 34.3435 10222.57 1733.1735 4427.765 21829.5 5513.748 13415 11381.2175 19.2855
22.03.2004 41947.85728 417.54 33.9915 10121.3455 1741.994 4345.485 21366.5 5416.5355 14108 11407.5855 19.697
29.03.2004 43649.54588 423.035 32.3815 10361.7105 1739.652 4406.64 22137.6 5617.7335 14114 11744.3595 16.457
05.04.2004 45360.9594 420.1 32.4855 10503.6475 1766.868 4478.255 22791.9 5831.9195 14063 12005.469 15.6365
12.04.2004 44196.836 407.695 33.7255 10423.525 1702.2015 4499.73 22325.15 5852.518 13222 11996.199 15.945
19.04.2004 41649.24996 396.78 33.286 10397.7845 1662.4675 4556.01 21359.5 5864.3845 12540 11939.733 15.395
26.04.2004 40177.80636 391.905 34.3215 10384.328 1608.767 4544.575 20758.05 5753.9895 11344 12015.0925 15.7825
03.05.2004 39249.12624 389.275 36.464 10270.5395 1595.59 4525.24 19599.45 5673.335 11131 11703.0575 16.853
10.05.2004 37895.26716 377.28 37.9175 10010.708 1580.7585 4435.885 18296.2 5371.196 10684 10976.0295 18.8945
17.05.2004 39387.82412 380.04 38.534 9956.6275 1552.205 4429.18 18426.9 4861.498 10873 10801.8395 19.024
24.05.2004 39595.02648 389.605 37.8235 10096.0085 1540.1095 4436.205 19062.65 5047.2435 11812 11142.248 16.518
31.05.2004 37069.38292 392.35 37.339 10218.406 1557.494 4434.58 19589.7 4842.111 12313 11194.1135 16.2605
07.06.2004 37393.14788 389.325 35.3715 10380.4115 1491.1475 4487.78 20096.5 4937.894 12345 11474.9775 15.3475
14.06.2004 36968.96824 387.54 35.12 10375.603 1453.3205 4474.34 20076.5 4789.726 13441 11513.0285 15.1785
21.06.2004 39449.85672 397.74 34.979 10414.24 1432.3915 4491.92 20545.5 4719.382 14950 11633.168 14.818
28.06.2004 37565.92088 397.1 33.877 10375.201 1409.7425 4474.22 20977.9 4834.6515 14951 11840.278 15.2465
05.07.2004 37729.15 400.7 36.4945 10237.719 1441.6265 4381.945 21290.25 4888.905 15775 11433.4355 15.881
